"행정구역","2025년06월_총인구수","2025년06월_세대수","2025년06월_세대당 인구","2025년06월_남자 인구수","2025년06월_여자 인구수","2025년06월_남여 비율"
"전국  (1000000000)","51,164,582","24,238,510","          2.11","25,467,115","25,697,467","          0.99"
"서울특별시  (1100000000)","9,325,616","4,501,234","          2.07","4,497,354","4,828,262","          0.93"
"부산광역시  (2600000000)","3,252,830","1,573,451","          2.07","1,582,043","1,670,787","          0.95"
"대구광역시  (2700000000)","2,357,052","1,108,762","          2.13","1,155,353","1,201,699","          0.96"
"인천광역시  (2800000000)","3,039,450","1,389,855","          2.19","1,518,758","1,520,692","          1.00"
"광주광역시  (2900000000)","1,399,082","658,642","          2.12","690,429","708,653","          0.97"
"대전광역시  (3000000000)","1,439,764","693,571","          2.08","717,456","722,308","          0.99"
"울산광역시  (3100000000)","1,093,665","497,117","          2.20","563,241","530,424","          1.06"
"세종특별자치시  (3600000000)","392,223","165,009","          2.38","195,248","196,975","          0.99"
"경기도  (4100000000)","13,711,404","6,094,387","          2.25","6,888,166","6,823,238","          1.01"
"강원특별자치도  (5100000000)","1,510,615","766,581","          1.97","759,478","751,137","          1.01"
"충청북도  (4300000000)","1,591,045","792,609","          2.01","810,526","780,519","          1.04"
"충청남도  (4400000000)","2,135,890","1,059,004","          2.02","1,096,214","1,039,676","          1.05"
"전북특별자치도  (5200000000)","1,730,258","867,008","          2.00","862,137","868,121","          0.99"
"전라남도  (4600000000)","1,783,484","914,527","          1.95","900,655","882,829","          1.02"
"경상북도  (4700000000)","2,519,474","1,296,929","          1.94","1,275,311","1,244,163","          1.03"
"경상남도  (4800000000)","3,216,105","1,544,775","          2.08","1,621,572","1,594,533","          1.02"
"제주특별자치도  (5000000000)","666,625","315,049","          2.12","333,174","333,451","          1.00"
